codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
ABCP11,Shoppings,73.61,830.0,0.55,0.72,2.28,4.65,9.31,0.76,0.78,0.78,6.27,13.02,13.84,9.38,1119952411.71,91.77,0.8,0.6,0.02,0.62,5.14,7.5,0.0,1
AFHI11,Títulos e Val. Mob.,97.0,6653.0,1.15,1.19,3.9,7.93,15.36,1.3,1.32,1.28,10.48,-3.0,-1.84,4.73,287450160.21,95.2,1.02,1.21,-2.09,-0.91,2.26,0.0,0.0,0
AFOF11,Títulos e Val. Mob.,91.6,768.0,1.08,1.18,3.58,7.11,13.36,1.19,1.19,1.11,9.25,5.29,6.53,11.58,69465153.2,100.5,0.91,1.07,2.33,3.43,8.23,0.0,0.0,0
AIEC11,Lajes Corporativas,79.07,9534.0,0.73,0.91,2.94,6.3,11.25,0.98,1.05,0.94,7.96,8.87,9.87,10.45,48917847.14,101.38,0.78,0.72,0.04,0.76,5.83,0.0,0.0,2
ALMI11,Lajes Corporativas,910.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250158727.48,2250.09,0.4,0.0,0.0,0.0,0.0,64.05,0.0,1
ALZR11,Logística,117.23,11968.0,5.65,4.82,6.18,8.19,11.92,2.06,1.37,0.99,9.51,0.06,4.88,10.88,741305529.88,111.24,1.05,5.08,2.56,7.77,9.21,0.0,0.0,15
APTO11,Híbrido,9.15,6414.0,0.11,1.17,3.7,7.11,0.0,1.23,1.19,0.0,8.99,-4.29,-3.17,1.44,40386596.55,10.06,0.91,1.09,-0.22,0.87,10.99,0.0,0.0,0
ARCT11,Híbrido,100.18,10441.0,0.9,0.9,2.98,8.13,16.81,0.99,1.36,1.4,11.01,-1.88,-1.0,2.26,370887371.89,100.02,1.0,0.9,-0.18,0.72,4.15,0.0,0.0,4
ARRI11,Títulos e Val. Mob.,9.0,64664.0,0.11,1.17,3.82,7.93,16.47,1.27,1.32,1.37,10.53,-89.75,-89.63,-89.63,10935315.33,9.28,0.97,1.19,-89.95,-89.83,-89.11,0.0,0.0,0
ATSA11,Shoppings,80.03,42.0,0.25,0.18,0.59,1.3,2.97,0.2,0.22,0.25,0.37,0.74,0.92,1.1,157775604.53,90.1,0.89,0.06,0.19,0.24,0.24,21.9,0.0,1
BARI11,Títulos e Val. Mob.,95.8,12195.0,1.05,1.06,3.94,7.72,14.52,1.31,1.29,1.21,9.84,-1.26,-0.21,4.14,47193800.88,101.84,0.94,1.03,-0.29,0.74,7.44,0.0,0.0,0
BBFI11B,Lajes Corporativas,1960.0,209.0,26.31,1.31,4.33,8.4,15.8,1.44,1.4,1.32,10.52,12.51,13.98,-2.35,375131778.13,2885.63,0.68,0.91,1.18,2.1,4.25,39.11,0.0,2
BBFO11,Títulos e Val. Mob.,77.11,2264.0,0.7,0.91,3.14,6.56,12.33,1.05,1.09,1.03,9.66,-1.09,-0.19,16.98,349116913.8,87.19,0.88,0.87,4.63,5.54,8.43,0.0,0.0,0
BBGO11,Títulos e Val. Mob.,86.48,1419.0,0.75,0.86,2.72,4.64,0.0,0.91,0.77,0.0,5.09,2.1,2.98,5.41,394157372.88,98.41,0.88,0.76,0.28,1.04,6.66,0.0,0.0,0
BBIM11,Títulos e Val. Mob.,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32291201.79,31.2,0.0,0.8,-27.9,-27.33,-31.49,0.0,0.0,0
BBPO11,Lajes Corporativas,91.9,14242.0,0.92,1.03,3.29,6.39,12.07,1.1,1.07,1.01,8.32,12.97,14.13,3.84,1593822693.55,100.12,0.92,0.92,0.02,0.94,12.43,0.0,0.0,64
BBRC11,Outros,102.11,1670.0,0.99,0.94,2.94,5.85,11.26,0.98,0.98,0.94,7.7,7.14,8.15,13.02,169912826.11,106.86,0.96,0.93,-0.03,0.9,6.56,5.37,1.08,20
