codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
FIVN11,Shoppings,3.55,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65491905.42,6.96,0.51,0.0,0.0,0.0,0.0,56.0,0.0,1
BZLI11,Títulos e Val. Mob.,65.06,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.55,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,65.08,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.84,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.25,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.45,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.41,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.57,3168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0
BZLI11,Títulos e Val. Mob.,64.97,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,433169275.63,10.54,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0
XTED11,Lajes Corporativas,8.82,2223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,-37.83,27744771.31,13.29,0.66,0.0,0.0,0.0,0.0,0.0,100.0,1
ALMI11,Lajes Corporativas,90.75,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,90.91,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.08,1883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.69,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.34,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.57,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.7,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.66,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
ALMI11,Lajes Corporativas,91.84,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250321687.81,2251.56,0.04,0.0,0.0,0.0,0.0,64.05,0.0,1
PABY11,Híbrido,26.41,1468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.84,-19.84,-31.62,-11662557.74,-15.38,-1.72,0.0,0.0,0.0,0.0,0.0,0.0,1
