codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
FIVN11,Shoppings,3.21,5819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65491905.42,6.96,0.46,0.0,0.0,0.0,0.0,56.0,0.0,1
BZLI11,Títulos e Val. Mob.,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.14,440205505.76,10.78,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0
XTED11,Lajes Corporativas,7.65,2275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,-37.83,2785416.91,13.78,0.56,0.0,0.0,0.0,0.0,0.0,100.0,1
ALMI11,Lajes Corporativas,910.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,-28.29,250158727.48,2250.09,0.4,0.0,0.0,0.0,0.0,64.05,0.0,1
PABY11,Híbrido,7.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.84,-19.84,-31.62,-11316865.81,-14.92,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
ORPD11,Títulos e Val. Mob.,93.0,3.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238325.61,149.1,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0
FISC11,Lajes Corporativas,165.0,200.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196478286.31,115.58,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0
GSFI11,Shoppings,4.76,4249.0,0.0,0.03,0.03,0.03,0.03,0.01,0.0,0.0,0.03,0.0,0.03,0.03,108886224.64,13.42,0.35,0.0,0.0,0.0,0.0,10.3,0.0,10
NEWU11,Lajes Corporativas,35.98,115.0,0.0,0.0,0.0,0.56,16.63,0.0,0.09,1.39,0.61,-4.04,-4.04,-31.62,48123818.78,64.86,0.55,0.0,0.0,0.0,0.0,63.2,0.0,3
PRSV11,Lajes Corporativas,127.0,101.0,1.62,0.42,1.53,2.91,5.95,0.51,0.48,0.5,4.46,5.3,5.74,-11.25,4762208.57,244.22,0.52,0.0,0.0,0.0,0.0,40.9,0.0,2
FAMB11B,Lajes Corporativas,780.0,6.0,9.16,0.56,2.17,4.78,10.43,0.72,0.8,0.87,8.82,-47.8,-47.51,-47.8,3209373.43,354.32,0.26,0.0,0.0,0.0,0.0,100.0,0.0,1
FMOF11,Lajes Corporativas,64.95,1.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62339721.97,122.71,0.53,0.0,0.0,0.0,0.0,52.08,0.0,1
HGRS11,Residencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151283672.82,101.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KNRE11,Residencial,0.95,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141267.51,1.15,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0
RBDS11,Residencial,3.5,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2605642.65,20.59,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0
WTSP11B,Híbrido,40.0,21.0,0.32,0.76,2.57,4.67,6.85,0.86,0.78,0.57,0.76,0.0,0.76,0.76,82488951.36,83.11,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0
OULG11,Outros,48.02,2619.0,0.17,0.38,1.14,3.4,8.03,0.38,0.57,0.67,1.5,3.09,3.48,-3.91,180805973.24,72.87,0.66,0.0,0.0,0.0,0.0,0.0,0.0,2
VXXV11,Outros,923.0,8830.0,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23148350.85,876.17,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0
BICE11,Títulos e Val. Mob.,950.0,240.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20682601.39,981.57,0.97,1.63,-0.68,0.93,1.54,0.0,0.0,0
HRDF11,Híbrido,1.04,170.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8722671.42,1.15,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0
CJCT11,Lajes Corporativas,83.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231360831.28,80.61,1.03,0.0,0.0,0.0,0.0,59.0,0.0,1
LFTT11,Residencial,91.08,22.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394603196.49,53.29,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0
HCRI11,Hospital,225.0,164.0,2.49,0.88,2.36,4.77,9.33,0.79,0.8,0.78,1.62,-18.08,-17.35,-16.74,59962597.07,299.81,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1
DRIT11B,Lajes Corporativas,95.37,6.0,0.33,0.28,0.8,0.0,0.0,0.27,0.0,0.0,1.28,5.78,6.07,-7.42,58337901.67,125.92,0.76,0.53,0.46,1.0,1.0,10.47,0.0,6
CTXT11,Lajes Corporativas,12.57,75.0,0.09,0.39,0.78,1.36,5.53,0.26,0.23,0.46,1.36,-2.58,-2.2,-39.31,115874720.49,39.92,0.31,0.0,0.0,0.0,0.0,97.0,0.0,1
GESE11B,Outros,1520.0,300.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86540717.02,1664.24,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0
SRVD11,Títulos e Val. Mob.,7.32,1.0,0.1,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,1.01,71653252.73,0.74,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0
RBIR11,Residencial,68.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146773544.1,96.02,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0
CARE11,Híbrido,4.05,5418.0,0.0,0.23,0.66,1.36,1.6,0.22,0.23,0.13,1.36,-2.63,-2.41,5.65,292218917.16,8.17,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
VJFD11,Híbrido,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647259253.61,132.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
