codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
WTSP11B,Híbrido,43.49,1.0,0.32,0.76,2.57,4.67,6.85,0.86,0.78,0.57,0.76,0.0,0.76,0.76,82363484.34,82.98,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0
OULG11,Outros,44.32,318.0,0.17,0.38,1.14,3.4,8.03,0.38,0.57,0.67,1.5,3.09,3.48,-3.91,181728876.23,73.24,0.61,0.0,0.0,0.0,0.0,0.0,0.0,2
CARE11,Híbrido,3.35,15012.0,0.0,0.23,0.66,1.36,1.6,0.22,0.23,0.13,1.36,-2.63,-2.41,5.65,291927750.9,8.16,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0
IBFF11,Títulos e Val. Mob.,3.08,2400.0,0.3,0.44,2.01,4.58,9.52,0.67,0.76,0.79,5.42,7.5,7.98,19.59,9855905.16,14.78,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0
IBFF11,Títulos e Val. Mob.,3.08,1300.0,0.3,0.44,2.01,4.58,9.52,0.67,0.76,0.79,5.42,7.5,7.98,19.59,9855905.16,14.78,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,3.9,1100.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,3.99,5400.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.13,900.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.11,2600.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.23,10700.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,3.85,13300.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.1,9700.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
AFOF11,Títulos e Val. Mob.,91.6,768.0,1.08,1.18,3.57,7.22,13.48,1.19,1.2,1.12,10.43,0.0,1.18,12.9,68114246.62,98.55,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0
RBHG11,Títulos e Val. Mob.,86.29,3301.0,1.15,1.31,4.05,8.65,16.48,1.35,1.44,1.37,13.49,-0.98,0.31,13.21,16169672.19,93.23,0.93,1.23,-1.91,-0.7,9.48,0.0,0.0,0
MFAI11,Híbrido,62.95,197.0,0.71,1.04,3.12,5.37,12.46,1.04,0.9,1.04,10.23,2.72,3.79,0.83,24445991.28,77.34,0.81,0.92,-2.51,-1.62,2.2,0.0,0.0,0
VILG11,Logística,98.64,12013.0,0.72,0.66,1.99,4.21,8.37,0.66,0.7,0.7,6.98,1.24,1.91,14.42,1709654647.4,114.0,0.87,0.63,0.03,0.66,6.47,0.0,0.0,16
MFII11,Híbrido,95.73,2134.0,1.11,1.12,3.38,6.83,13.49,1.13,1.14,1.12,11.19,2.31,3.46,0.09,418570981.13,100.94,0.95,1.1,-0.63,0.47,3.28,0.0,0.0,9
VRTA11,Títulos e Val. Mob.,93.06,14453.0,1.0,1.04,3.28,6.91,13.92,1.09,1.15,1.16,11.56,2.33,3.4,2.62,1274181579.71,94.13,0.99,1.06,0.43,1.5,10.41,0.0,0.0,0
EVBI11,Híbrido,97.6,114.0,0.75,0.76,2.28,4.58,9.3,0.76,0.76,0.77,6.2,0.0,0.76,13.21,14174315.71,100.93,0.97,0.74,0.45,1.2,7.66,0.0,0.0,4
VGHF11,Títulos e Val. Mob.,9.07,186602.0,0.09,0.95,3.08,7.01,16.07,1.03,1.17,1.34,12.76,-2.16,-1.23,5.03,683683787.87,9.38,0.97,0.96,0.44,1.4,13.19,0.0,0.0,0
BARI11,Títulos e Val. Mob.,93.43,8477.0,1.0,1.05,3.17,7.49,14.42,1.06,1.25,1.2,11.94,0.0,1.05,1.97,464971328.57,100.33,0.93,1.0,-0.61,0.38,7.97,0.0,0.0,0
QAGR11,Outros,45.43,3382.0,0.41,0.86,2.6,5.11,9.74,0.87,0.85,0.81,6.67,0.0,0.86,1.28,281721999.7,55.9,0.81,0.73,0.1,0.84,-2.31,0.0,0.0,12
ITIP11,Títulos e Val. Mob.,79.47,843.0,0.76,0.94,3.17,6.9,14.01,1.06,1.15,1.17,11.65,0.0,0.94,11.15,62346732.01,83.33,0.95,0.91,-0.16,0.75,4.68,0.0,0.0,0
RBHY11,Títulos e Val. Mob.,94.79,2696.0,1.26,1.3,4.06,8.54,17.01,1.35,1.42,1.42,13.48,0.0,1.3,8.09,180393192.28,95.27,0.99,1.32,-1.08,0.23,12.06,0.0,0.0,0
PATL11,Híbrido,72.42,9073.0,0.58,0.73,2.19,4.49,9.18,0.73,0.75,0.77,7.52,0.0,0.73,13.73,489688100.82,98.1,0.74,0.59,0.01,0.6,6.22,0.0,0.0,4
CXCE11B,Outros,40.99,29.0,0.46,1.08,2.91,5.65,10.84,0.97,0.94,0.9,9.11,0.0,1.08,2.36,11130391.29,64.82,0.63,0.71,-0.59,0.11,-1.34,0.0,0.0,1
BBGO11,Títulos e Val. Mob.,84.48,6425.0,1.0,1.18,2.98,5.57,0.0,0.99,0.93,0.0,7.22,0.0,1.18,4.16,392249829.74,97.94,0.86,1.02,-0.09,0.93,8.1,0.0,0.0,0
