codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
WTSP11B,Híbrido,43.49,1.0,0.32,0.76,2.57,4.67,6.85,0.86,0.78,0.57,0.76,0.0,0.76,0.76,82363484.34,82.98,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0
OULG11,Outros,43.7,2572.0,0.17,0.38,1.14,3.4,8.03,0.38,0.57,0.67,1.5,3.09,3.48,-3.91,181728876.23,73.24,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2
CARE11,Híbrido,3.12,3969.0,0.0,0.23,0.66,1.36,1.6,0.22,0.23,0.13,1.36,-2.63,-2.41,5.65,291927750.9,8.16,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0
IBFF11,Títulos e Val. Mob.,3.08,2400.0,0.3,0.44,2.01,4.58,9.52,0.67,0.76,0.79,5.42,7.5,7.98,19.59,9855905.16,14.78,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0
IBFF11,Títulos e Val. Mob.,3.08,1300.0,0.3,0.44,2.01,4.58,9.52,0.67,0.76,0.79,5.42,7.5,7.98,19.59,9855905.16,14.78,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,3.9,1100.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,3.99,5400.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.13,900.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.11,2600.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.23,10700.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,3.85,13300.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
QIRI11,Títulos e Val. Mob.,4.1,9700.0,0.66,0.86,2.85,5.44,9.6,0.95,0.91,0.8,7.0,6.81,7.72,-8.39,13441852.95,89.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
AFOF11,Títulos e Val. Mob.,91.6,768.0,1.08,1.18,3.57,7.22,13.48,1.19,1.2,1.12,10.43,0.0,1.18,12.9,68114246.62,98.55,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0
VILG11,Logística,102.5,18874.0,0.72,0.66,1.99,4.21,8.37,0.66,0.7,0.7,6.98,1.24,1.91,14.42,1709654647.4,114.0,0.9,0.63,0.03,0.66,6.47,0.0,0.0,16
VRTA11,Títulos e Val. Mob.,92.1,28787.0,1.0,1.04,3.28,6.91,13.92,1.09,1.15,1.16,11.56,2.33,3.4,2.62,1274181579.71,94.13,0.98,1.06,0.43,1.5,10.41,0.0,0.0,0
EVBI11,Híbrido,96.7,138.0,0.75,0.76,2.28,4.58,9.3,0.76,0.76,0.77,6.2,0.0,0.76,13.21,14174315.71,100.93,0.96,0.74,0.45,1.2,7.66,0.0,0.0,4
VGHF11,Títulos e Val. Mob.,8.98,288458.0,0.09,0.95,3.08,7.01,16.07,1.03,1.17,1.34,12.76,-2.16,-1.23,5.03,683683787.87,9.38,0.96,0.96,0.44,1.4,13.19,0.0,0.0,0
QAGR11,Outros,44.33,19219.0,0.41,0.86,2.6,5.11,9.74,0.87,0.85,0.81,6.67,0.0,0.86,1.28,281721999.7,55.9,0.79,0.73,0.1,0.84,-2.31,0.0,0.0,12
ITIP11,Títulos e Val. Mob.,78.49,619.0,0.76,0.94,3.17,6.9,14.01,1.06,1.15,1.17,11.65,0.0,0.94,11.15,62346732.01,83.33,0.94,0.91,-0.16,0.75,4.68,0.0,0.0,0
PATL11,Híbrido,73.47,10857.0,0.58,0.73,2.19,4.49,9.18,0.73,0.75,0.77,7.52,0.0,0.73,13.73,489688100.82,98.1,0.75,0.59,0.01,0.6,6.22,0.0,0.0,4
GALG11,Híbrido,9.44,47784.0,0.08,0.86,2.55,5.13,10.2,0.85,0.86,0.85,9.39,0.0,0.86,-98.91,584291907.19,10.16,0.93,0.81,0.19,1.0,-89.34,0.0,0.0,6
NVHO11,Hospital,9.99,42.0,0.08,0.8,2.31,4.34,7.75,0.77,0.72,0.65,5.21,5.32,6.16,6.53,52913250.25,12.75,0.78,0.66,0.1,0.76,5.61,0.0,0.0,1
RNDP11,Títulos e Val. Mob.,151.0,254.0,2.14,0.84,2.51,5.63,10.46,0.84,0.94,0.87,9.13,-2.21,-1.39,-53.22,34519994.07,321.17,0.47,0.67,-0.57,0.09,-48.64,0.0,0.0,0
HCHG11,Outros,87.5,611.0,1.0,1.13,3.48,6.68,12.25,1.16,1.11,1.02,10.51,3.47,4.63,11.52,120541835.89,100.45,0.87,1.0,-1.93,-0.96,12.47,0.0,0.0,0
SPTW11,Lajes Corporativas,40.17,7137.0,0.4,0.92,2.77,5.58,10.88,0.92,0.93,0.91,9.17,1.07,2.0,5.09,95530136.48,53.13,0.76,0.75,0.13,0.89,7.78,0.0,0.0,1
VIUR11,Títulos e Val. Mob.,7.26,76862.0,0.07,0.91,2.65,5.63,11.34,0.88,0.94,0.94,9.49,-2.34,-1.45,-88.52,256568105.47,9.52,0.76,0.76,0.27,1.03,-89.38,0.0,0.0,6
